Wavelength,0.115MB_AuNP_MQW,0.115MB_cenAuNP_MQW,0.30MB_AuNP_MQW,0.30MB_cenAuNP_MQW,0.115MB_AuNP_As30,0.115MB_cenAuNP_As30,0.30MB_AuNP_As30_1,0.30MB_cenAuNP_As30
458.0,0.11441,0.11544,0.07568,0.08473,0.11751,0.11569,0.09266,0.08202
459.0,0.11444,0.11584,0.07535,0.08448,0.11774,0.11603,0.0927,0.08202
460.0,0.11451,0.11603,0.07539,0.08459,0.11786,0.11611,0.09259,0.08187
461.0,0.1145,0.11602,0.07529,0.08429,0.11804,0.1162,0.09273,0.08163
462.0,0.11438,0.11615,0.07494,0.08408,0.11791,0.11643,0.09253,0.08176
463.0,0.11476,0.11618,0.07514,0.08422,0.11844,0.11645,0.09254,0.08162
464.0,0.11509,0.11683,0.07513,0.08419,0.11865,0.11697,0.09271,0.08172
465.0,0.11513,0.11689,0.07511,0.08426,0.11902,0.11715,0.0927,0.08169
466.0,0.11532,0.11716,0.07506,0.08383,0.11923,0.11736,0.09311,0.08158
467.0,0.11533,0.11735,0.07491,0.08397,0.11916,0.11763,0.09255,0.08157
468.0,0.11572,0.11767,0.07513,0.08389,0.11973,0.11803,0.09275,0.08152
469.0,0.11596,0.11804,0.07493,0.08404,0.11999,0.11828,0.0929,0.08146
470.0,0.11612,0.11817,0.07488,0.08386,0.12047,0.11842,0.09294,0.08139
471.0,0.11643,0.11871,0.07486,0.08368,0.12054,0.119,0.09304,0.0814
472.0,0.11669,0.11899,0.07496,0.08387,0.12115,0.11941,0.09308,0.08141
473.0,0.11718,0.1197,0.07498,0.08402,0.12169,0.11989,0.09333,0.08139
474.0,0.11746,0.11999,0.07499,0.08399,0.12209,0.12041,0.09325,0.08135
475.0,0.11802,0.12045,0.07512,0.08373,0.12244,0.12085,0.09359,0.08139
476.0,0.11829,0.12105,0.07496,0.08391,0.12291,0.12155,0.09373,0.08143
477.0,0.11864,0.12144,0.07515,0.08401,0.12371,0.12205,0.09385,0.08135
478.0,0.11939,0.12246,0.07509,0.08432,0.12439,0.12286,0.0941,0.08152
479.0,0.11983,0.12312,0.07531,0.08413,0.12501,0.12351,0.09432,0.0813
480.0,0.12047,0.12358,0.07523,0.08387,0.12584,0.12412,0.09467,0.08134
481.0,0.12064,0.12436,0.07532,0.08421,0.12634,0.12494,0.09476,0.08147
482.0,0.12152,0.1251,0.07543,0.08449,0.1271,0.12569,0.09496,0.08161
483.0,0.12208,0.12601,0.07562,0.0847,0.12806,0.1266,0.09535,0.08165
484.0,0.1228,0.12653,0.07563,0.08451,0.12866,0.12699,0.09559,0.08165
485.0,0.12334,0.12754,0.07567,0.08471,0.12945,0.12818,0.09598,0.08183
486.0,0.1238,0.12824,0.07584,0.08511,0.13022,0.12904,0.09607,0.0819
487.0,0.12509,0.12967,0.07629,0.08515,0.13157,0.13023,0.0967,0.0821
488.0,0.1257,0.13047,0.07646,0.08523,0.13249,0.13105,0.09693,0.08199
489.0,0.12655,0.1317,0.0764,0.08545,0.13352,0.13232,0.09737,0.08244
490.0,0.12694,0.13291,0.07654,0.08595,0.13423,0.13366,0.09759,0.08262
491.0,0.12814,0.13395,0.07683,0.08618,0.13562,0.13467,0.0981,0.08283
492.0,0.12896,0.13528,0.07721,0.08642,0.13679,0.13591,0.09869,0.08282
493.0,0.12975,0.13625,0.07739,0.08647,0.13784,0.13694,0.09879,0.08305
494.0,0.13069,0.13753,0.07769,0.08696,0.13869,0.13834,0.09947,0.08341
495.0,0.13127,0.13848,0.07778,0.0872,0.1397,0.13937,0.09981,0.08352
496.0,0.13248,0.14,0.07821,0.08739,0.1412,0.14064,0.10036,0.08385
497.0,0.13325,0.14156,0.07842,0.08778,0.14222,0.14213,0.10061,0.08406
498.0,0.13421,0.14262,0.07875,0.08804,0.14351,0.14343,0.10124,0.08453
499.0,0.13524,0.14415,0.07903,0.08817,0.14477,0.14505,0.10197,0.08488
500.0,0.13608,0.1455,0.07924,0.08871,0.14608,0.14644,0.10226,0.08506
501.0,0.13731,0.1473,0.07957,0.08913,0.14752,0.14817,0.10279,0.08546
502.0,0.13806,0.14845,0.07976,0.08946,0.14835,0.14921,0.10322,0.08577
